id,miejscowosc,ulica,numer_domu,kod_pocztowy
1,Kraków,Częstochowska,1V,67-550
2,Choroszcz,Sylurska,38Q,77-264
3,Kunów,Wolbromska,20F,74-913
4,Sejny,Składowa,74M,20-455
5,Gniewkowo,Dzika,38G,74-309
6,Kudowa-Zdrój,Janowska,72O,85-009
7,Głuchołazy,Czołgistów,92Y,19-230
8,Borek Wielkopolski,Giętówka,134P,03-679
9,Michałowo,Jeziorko,170M,34-023
10,Grodzisk Mazowiecki,Adama Mickiewicza,41N,62-367
11,Mogielnica,Lubiczna,162S,69-400
12,Glinojeck,Stefana Żeromskiego,120B,49-619
13,Borek Wielkopolski,Wita Stwosza,175N,24-783
14,Wołomin,Kryształowa,17M,73-290
15,Koziegłowy,Władysława Franasia,22N,50-554
16,Pabianice,Romualda,85V,16-855
17,Izbica Kujawska,Astronautów,112W,04-596
18,Sulejówek,Grzybowa,106J,67-564
19,Kórnik,Szkolna,148H,02-461
20,Wadowice,Księcia Józefa Poniatowskiego,94C,26-622
21,Pieńsk,Zamkowa,185T,46-899
22,Ostrów Wielkopolski,Transportowców,114I,29-195
23,Grodków,Łopianowa,22B,00-791
24,Mirosławiec,Krzemionkowa,88W,09-035
25,Olsztynek,Łysogórska,162F,94-579
26,Wieleń,Franciszka Loefflera,183H,63-465
27,Sędziszów,Tobrucka,99V,07-978
28,Międzybórz,Łopianowa,113I,52-164
29,Kalisz Pomorski,Słoneczna,120L,34-441
30,Kargowa,Piotrkowska,171O,94-718
31,Bełchatów,Spółdzielcza,96N,13-644
32,Barlinek,Zagórska,131H,85-779
33,Działoszyce,Żurawia,136Z,64-393
34,Bytom Odrzański,Przelot,12G,65-275
35,Sanniki,Kapitulna,140P,59-471
36,Głuchołazy,Jana Matejki,22C,83-446
37,Radzyń Chełmiński,Rumiankowa,3B,27-905
38,Golub-Dobrzyń,Wojciecha Szczepaniaka,47C,06-697
39,Ciechanowiec,Krzywa,7S,08-308
40,Wiślica,Czołgistów,122U,54-590
41,Wołów,Podlasie,140E,90-952
42,Nowogrodziec,Oksywska,138U,12-803
43,Sejny,Nastole,27O,35-271
44,Niemcza,Majora Jurija Gagarina,184B,30-114
45,Białobrzegi,Panoramiczna,82V,60-194
46,Bochnia,Okólnik,73K,96-386
47,Rudnik nad Sanem,Rozmarynowa,131G,94-756
48,Bystrzyca Kłodzka,Parkowa,128P,27-680
49,Sośnicowice,Ciekocka,43S,00-184
50,Biskupiec,Brzechowska,88T,47-233
51,Myślenice,Andrzeja Struga,24Q,16-750
52,Milanówek,Świerczyńska,48T,79-989
53,Łagów,Kazimierza Kaznowskiego,1F,41-501
54,Kartuzy,Stacyjna,6V,10-497
55,Nowogród Bobrzański,Przygodna,50S,09-089
56,Szamotuły,Czernidło,159N,26-834
57,Trzcianka,Poleska,169D,84-561
58,Lębork,Sabinówek,10N,43-056
59,Pełczyce,Aleksandra Fredry,41W,24-672
60,Lidzbark Warmiński,Malików,81S,66-878
61,Lesko,Lecha,137N,17-869
62,Warszawa,Księżniczki Dąbrówki,39N,74-656
63,Brzostek,Zbożowa,79Y,33-143
64,Świnoujście,Podlasie,175O,31-963
65,Skępe,Pułkownika Stanisława Dąbka,30K,89-445
66,Świętochłowice,Za Torem,61M,65-311
67,Białystok,Spokojna,95Y,02-005
68,Lubaczów,Ustronie,20E,13-652
69,Lipiany,Marii Konopnickiej,29M,67-986
70,Przemyśl,Łagowska,106T,72-271
71,Lubniewice,Tadeusza Szymona Włoszka,133C,65-740
72,Baborów,Legnicka,160T,41-196
73,Myszyniec,Władysława Dzikowskiego,173K,20-644
74,Rydułtowy,Mieczysława Karłowicza,5A,36-569
75,Jaworzno,Ołowiana,2D,33-472
76,Jedwabne,Źródłowa,122I,00-302
77,Tykocin,Dolna,113V,99-992
78,Zalewo,Mała,115N,63-783
79,Nowe Miasto Lubawskie,Narwicka,9V,56-332
80,Czaplinek,Masłowska,79Y,17-550
