id,id_trasy,id_pojazdu,id_pracownika,id_czasu,ilosc_biletow_nor,ilosc_biletow_ulg,godzina_przejazdu,minuty_przejazdu,poziom_wypelnienia,odleglosc,przychod
1,328,2332,42,2351,17,11,2,10,0.9655172413793104,156,192
2,511,1079,2454,342,22,5,8,29,0.9642857142857143,610.8,328
3,471,2342,1233,1879,1,0,3,55,0.0625,282,14
4,462,832,777,769,0,11,3,36,0.34375,259.2,66
5,1488,1052,51,435,18,0,8,25,0.782608695652174,606,234
6,97,220,561,2472,14,7,4,51,1,349.2,203
7,6,959,1829,1377,15,0,7,31,0.8333333333333334,541.2,165
8,1300,1276,1459,628,4,19,3,46,0.8518518518518519,271.2,135
9,1279,2468,597,70,7,6,3,1,0.48148148148148145,217.2,94
10,2304,2450,1526,1545,0,33,6,10,0.9705882352941176,444,99
11,722,1584,96,2182,25,0,6,52,1,494.4,275
12,320,154,856,997,25,4,3,29,0.90625,250.8,258
13,2381,915,2315,1086,27,0,2,27,1,176.4,324
14,1239,449,554,45,4,12,7,54,0.9411764705882353,568.8,136
15,240,341,2166,1176,5,4,12,58,0.6923076923076923,933.6,82
16,2475,938,1374,1189,1,23,5,45,0.9230769230769231,414,104
17,1697,118,1570,619,11,3,0,25,0.875,30,150
18,774,176,1703,575,12,5,7,41,0.9444444444444444,553.2,162
19,2401,1925,447,2168,5,3,4,52,0.7272727272727273,350.4,68
20,1762,112,1771,441,17,1,11,54,0.8571428571428571,856.8,242
21,2187,921,737,2280,10,2,10,37,0.9230769230769231,764.4,126
22,1411,400,2004,2166,10,5,9,38,1,693.6,120
23,1635,1026,1626,719,15,13,7,9,0.9032258064516129,514.8,245
24,1879,322,2395,577,2,11,3,56,0.9285714285714286,283.2,61
25,1641,743,502,1248,29,0,11,34,1,832.8,319
26,2000,1627,1738,791,25,6,6,9,1,442.8,274
27,1822,163,2322,566,31,2,9,46,1,703.2,328
28,1819,1448,2055,1898,14,8,4,26,0.9565217391304348,319.2,238
29,1838,2418,2411,1750,2,8,12,49,0.4,922.8,92
30,747,36,1639,1433,15,1,7,16,0.8,523.2,214
31,2276,893,1773,1531,18,2,2,44,0.8,196.8,240
32,462,2299,1199,35,1,17,6,24,1,460.8,116
33,966,306,130,190,0,13,6,39,0.7222222222222222,478.8,117
34,492,1545,1124,2048,11,6,4,27,0.6296296296296297,320.4,175
35,1249,1975,2444,1466,8,0,9,19,0.5333333333333333,670.8,96
36,1819,2109,1892,452,7,6,11,19,1,814.8,133
37,1710,1232,466,1469,6,3,2,29,0.6,178.8,78
38,65,1435,2228,1360,13,1,6,4,1,436.8,189
39,242,640,807,910,4,0,1,4,0.36363636363636365,76.8,40
40,2479,2422,2316,216,31,3,5,2,1,362.4,334
41,2241,1676,1714,2197,24,3,5,36,0.8181818181818182,403.2,282
42,1479,331,2019,604,20,1,2,10,0.84,156,248
